Author Name,WORK IDs,CTS-URN/s,# of translations,Edition Title,Editor; Translator,Publisher,Date,Original File Name/Location,Addiional File location/locations,Source Edition LInk,Translation Language,Worldcat Link,Work/s Split Up/Renamed in Branch,New File Name/s,Notes,TOC,Additional TOC
"Tibullus,  Messallae Panegyristae; Lygdamus, Sulpicia, ",660.1 660.4 stoa0183.stoa001 stoa0269.stoa002,"urn:cts:latinLit:phi0660.phi001.ogl-ger1 
urn:cts:latinLit:phi0660.phi004.ogl-ger1 
urn:cts:latinLit:stoa0183.stoa001.ogl-ger1 
urn:cts:latinLit:stoa0269.stoa002.ogl-ger1",4,"Albinus Tibullus : [Corpus Tibullianum], im Versmasse der Urschrift ","Eberz, Anton",J. D. Sauerländer,1865,tibullus_1865,,https://hdl.handle.net/2027/uc1.31175024003926,German,,,,,,
Velleius Paterculus,1044.1,urn:cts:latinLit:phi1044.phi001.ogl-fre1 urn:cts:latinLit:phi1044.phi001.ogl-lat1,1,Histoire romaine de Caius Velleius Paterculus,"Després, Jean Baptiste Denis 1752-1832;  Panckoucke, Ernest, 1808-1886",Panckouke,1840,caiusVelleiusPaterculus_1840.xml,,https://hdl.handle.net/2027/hvd.hw1yty,French & Latin,http://www.worldcat.org/oclc/492173142,,,,,
"Victor, Sextus Aurelius",stoa0044.stoa001 stoa0044.stoa002 stoa0043.stoa001 stoa0043.stoa002,urn:cts:latinLit:stoa0044.stoa001.ogl-fre1 urn:cts:latinLit:stoa0044.stoa001.ogl-lat1 urn:cts:latinLit:stoa0044.stoa002.ogl-fre1 urn:cts:latinLit:stoa0044.stoa002.ogl-lat1 urn:cts:latinLit:stoa0043.stoa001.ogl-fre1 urn:cts:latinLit:stoa0043.stoa001.ogl-lat1 urn:cts:latinLit:stoa0043.stoa002.ogl-fre1 urn:cts:latinLit:stoa0043.stoa002.ogl-lat1,4,Sextus Aurelius Victor. Origine du peuple romain.  Hommes illustres de la ville de Rome. Histoire des Césars. Vies des  Empereurs romains,"Dubois, Nicolas-Auguste, 1799-187.?",Panckouke,1846,sextusAureliusVictor_1846.xml,,https://hdl.handle.net/2027/uc1.$b311290,French & Latin,http://www.worldcat.org/oclc/557408479,,,,,
Virgil,690.1 690.2 690.3,urn:cts:latinLit:phi0690.phi001.ogl-fre2  urn:cts:latinLit:phi0690.phi001.ogl-lat2 urn:cts:latinLit:phi0690.phi002.ogl-fre2  urn:cts:latinLit:phi0690.phi002.ogl-lat2  urn:cts:latinLit:phi0690.phi003.ogl-fre2  urn:cts:latinLit:phi0690.phi003.ogl-lat2  ,3,Oeuvres de Virgile (2 vol in 1?),"Sainte-Beuve, Charles-Augustin, 1804-1869",Garnier Frerers,not dated,virgil_1_nd.xml,virgil_2_nd.xml,https://hdl.handle.net/2027/nyp.33433081617270,French & Latin,http://www.worldcat.org/oclc/865325947,,,,,
Virgil,690.1 690.2 690.3,urn:cts:latinLit:phi0690.phi001.ogl-ger1 urn:cts:latinLit:phi0690.phi002.ogl-ger1 urn:cts:latinLit:phi0690.phi003.ogl-ger1,3,Virgil Werke,Virgil Werke (3 volumes in 1),Langenscheidt,1857,virgil_1_1855,,http://hdl.handle.net/2027/uc1.b3146546,German,,,,,,
Vitruvius,1056.1,urn:cts:latinLit:phi1056.phi001.ogl-ger1,1,Des Vitruvius Zehn Bücher über Architektur,"Reber, Franz",Krais & Hoffman,1865,vitruvius_1865,,https://hdl.handle.net/2027/coo.31924005716554,German,,,,,,
Xenophon,0032.003 0032.004 0032.005 0032.008 0032.009 0032.010 0032.011 0032.012 0032.013 0032.014 0032.015 1754.001,urn:cts:greekLit:tlg0032.tlg003.ogl-eng1 urn:cts:greekLit:tlg0032.tlg004.ogl-eng1 urn:cts:greekLit:tlg0032.tlg005.ogl-eng1 urn:cts:greekLit:tlg0032.tlg008.ogl-eng1 urn:cts:greekLit:tlg0032.tlg009.ogl-eng1 urn:cts:greekLit:tlg0032.tlg010.ogl-eng1 urn:cts:greekLit:tlg0032.tlg011.ogl-eng1 urn:cts:greekLit:tlg0032.tlg012.ogl-eng1 urn:cts:greekLit:tlg0032.tlg013.ogl-eng1 urn:cts:greekLit:tlg0032.tlg014.ogl-eng1 urn:cts:greekLit:tlg0032.tlg015.ogl-eng1 urn:cts:greekLit:tlg1754.tlg001.ogl-eng1,12,Xenophon's Minor Works,"Watson, John Selby, 1804-1884",Bell ,1898,xenophon_1898,,http://hdl.handle.net/2027/njp.32101077773859,English,,,,,,
Xenophon,,,,Xenophon's Minor Works (DUPLICATE),"Watson, John Selby, 1804-1884",Bell ,,xenophonminor_1914,,,,,,,,,
Xenophon,0032.006 0032.002,urn:cts:greekLit:tlg0032.tlg006.ogl-eng1 urn:cts:greekLit:tlg0032.tlg002.ogl-eng1 ,2,"Xenophon's Anabasis, Memorabilia of Socrates","Watson, John Selby, 1804-1884",Bell ,1907,xenophon_1907,,https://archive.org/details/anabasisorexpedi00xenouoft,English,,,,,,
Xenophon,0032.001 0032.004,urn:cts:greekLit:tlg0032.tlg001.ogl-eng1 urn:cts:greekLit:tlg0032.tlg004.ogl-eng1,2,Xenophon's Hellenics Books I-IV and the Banquet,"Watson, John Selby, 1804-1884; Dale, Henry",Bell ,1909,xenophon_1909,,https://archive.org/details/xenophonscyrop00xeno,English,,,,,,
Xenophon,0032.002,urn:cts:greekLit:tlg0032.tlg002.ogl-fre1 ,1,Entretiens Mémorables de Socrate,"Fouillée, Alfred   1838-1912., ed., Gail, J.-B.   1755-1829, tr.",Charles Delagrave,1872,xenophon_1872.xml,,https://hdl.handle.net/2027/mdp.39015053268440,French,,,,,,
Xenophon,0032.001 0032.006 0032.003 0032.013 0032.012 0032.014 0032.007 0032.009 0032.010 0032.015 0032.011 0032.004 0032.005 0032.002 0032.008,urn:cts:greekLit:tlg0032.tlg001.ogl-fre1 urn:cts:greekLit:tlg0032.tlg006.ogl-fre1 urn:cts:greekLit:tlg0032.tlg003.ogl-fre1 urn:cts:greekLit:tlg0032.tlg013.ogl-fre1 urn:cts:greekLit:tlg0032.tlg012.ogl-fre1  urn:cts:greekLit:tlg0032.tlg014.ogl-fre1   urn:cts:greekLit:tlg0032.tlg007.ogl-fre1  urn:cts:greekLit:tlg0032.tlg009.ogl-fre1  urn:cts:greekLit:tlg0032.tlg010.ogl-fre1  urn:cts:greekLit:tlg0032.tlg015.ogl-fre1  urn:cts:greekLit:tlg0032.tlg011.ogl-fre1 urn:cts:greekLit:tlg0032.tlg004.ogl-fre1 urn:cts:greekLit:tlg0032.tlg005.ogl-fre1 urn:cts:greekLit:tlg0032.tlg002.ogl-fre2 urn:cts:greekLit:tlg0032.tlg008.ogl-fre1,15,"Œuvres complètes de Xénophon, Volume 1: Les Helléniques - Anabase - Économique -  De l’Équitation -Le Commandant de Cavalerie -Cynégétique  - Volume 2:  Cyropédie - Vie d’Agèsilas - République de Sparte - République de Athènes - Revenus de l’Attique - Banquet- Apologie de Socrate  - Mémoires sur Socrate- Hiéron","Pessonneaux, Emile, 1821-1903.",Charpentier,1872,xenophon_1_1872.xml,xenophon_2_1872.xml,http://hdl.handle.net/2027/njp.32101077773834 (Volume 1) http://hdl.handle.net/2027/njp.32101077773842 (Volume 2),French,,,,,,
Xenophon,0032.007 0032.002  0032.001 0032.00? 0032.006,urn:cts:greekLit:tlg0032.tlg007.ogl-ger1 urn:cts:greekLit:tlg0032.tlg002.ogl-ger1  urn:cts:greekLit:tlg0032.tlg001.ogl-ger1 urn:cts:greekLit:tlg0032.tlg00?.ogl-ger1 urn:cts:greekLit:tlg0032.tlg006.ogl-ger1,5,Xenophon's ausgewählte Schriften: Volume 1 Die Kyropädie (Walz-1854) - Volume 2:  Erinnerungen an Sokrates (1857-Finckh) - Volume 3: Sieben Bucher griechische Geschichte (Campe-1857)- Volume 4:  Feldzug des jungeren Kyros (Hertlein-1857) - Volume 5: Anabasis,"Walz, Christian; Finckh, Christoph Eberhard, 1802-1870; Campe, Johann Friedrich Christian, 1808-1881; Hertlein, Friedrich Karl Gottlob, 1803-1880
    ‎
        ",Messler'schen Buchhandlung,1854-1858,xenophon_1_1854,xenophon_2_1856 xenophon_3_1858,http://hdl.handle.net/2027/uc1.$b267843 (Vol 1) https://hdl.handle.net/2027/uc1.$b267844 (vol 2)  http://hdl.handle.net/2027/hvd.hn27yh (Vol 3),German,,,,,,
Xenophon,0032.001,urn:cts:greekLit:tlg0032.tlg001.ogl-ita1,1,"Le Opere Di Senofonte Ateniese, Volume 2","Gandino, Marc Antonio",Verona: Appresso Dionigi Ramanzini,1737,xenophon_2_1737.xml,,https://hdl.handle.net/2027/hvd.hn2wbi,Italian ,http://www.worldcat.org/oclc/801197930,,,Original series is 4 volumes. , Historia Graeca (3-209),
Xenophon,0032.009 0032.010 0032.015 0032.005 0032.002 0032.003 0032.004 0032.008 0032.011 0032.013 0032.014,urn:cts:greekLit:tlg0032.tlg009.ogl-ita1 urn:cts:greekLit:tlg0032.tlg010.ogl-ita1 urn:cts:greekLit:tlg0032.tlg015.ogl-ita1 urn:cts:greekLit:tlg0032.tlg005.ogl-ita1 urn:cts:greekLit:tlg0032.tlg002.ogl-ita1  urn:cts:greekLit:tlg0032.tlg003.ogl-ita1 urn:cts:greekLit:tlg0032.tlg004.ogl-ita1 urn:cts:greekLit:tlg0032.tlg008.ogl-ita1 urn:cts:greekLit:tlg0032.tlg011.ogl-ita1 urn:cts:greekLit:tlg0032.tlg013.ogl-ita1 urn:cts:greekLit:tlg0032.tlg014.ogl-ita1,11,"Le Opere Di Senofonte Ateniese, Volume 3","Gandino, Marc Antonio",Verona: Appresso Dionigi Ramanzini,1737,xenophon_3_1737.xml,,"http://hdl.handle.net/2027/hvd.hn2wbh
",Italian ,http://www.worldcat.org/oclc/801197930,,,,"Agesilaus (3-28), Respublica Lacedaemoniorum (pg. 29-45), Atheniensium respublica (46-56) Apologia Socratis (pg. 57-64) Memorabilia Socratis (65-175) Del governo famigliare (Oeconomicus (176-229) Convivium (pg. 230-258) -Hiero (pg. 259-276) -- de Vectigalibus (pg. 277-289) - de re Equestri (pg. 290-311) -- Hipparchicus (pg. 312-331) -- Cynegeticus (pg. ",
"Xenophon, of Ephesus",0641.001,urn:cts:greekLit:tlg0641.tlg001.ogl-ita1,1,Degli Amori di Abrocome ed Anzia,"Salvini, Antonio Maria, 1653-1729",Daelli,1863,xenophon_1863.xml,,http://hdl.handle.net/2027/nyp.33433082193495,Italian ,,,,Only one apparently that is edited,,
